,GPS_time,SatPRN,Pseudo_range,CN0,SatX,SatY,SatZ
0,1.3970624314260416e+18,10,385.8303527832031,48.3,-1620081.7744787037,17327678.89277763,20172485.06377191
1,1.3970624314260416e+18,21,-314.40350341796875,45.7,15757452.408317765,1890975.9571634931,21856363.72227612
2,1.3970624314260416e+18,27,570.804931640625,37.9,23098436.983025927,13303367.387089957,-3014966.440680798
3,1.3970624314260416e+18,32,279.2655639648437,48.5,7810468.746056126,17849813.844240233,18350828.84000951
25,1.3970624314260416e+18,08,207.6083984375,27.7,25023639.6240527,4783845.8041696865,8137692.350133545
26,1.3970624314260416e+18,10,386.85443115234375,35.5,-1620081.7744787037,17327678.89277763,20172485.06377191
27,1.3970624314260416e+18,27,569.6426391601562,27.9,23098436.983025927,13303367.387089957,-3014966.440680798
28,1.3970624314260416e+18,32,280.09423828125,24.6,7810468.746056126,17849813.844240233,18350828.84000951
45,1.3970624324260416e+18,08,211.72073364257807,24.4,25024485.673475336,4784495.73568894,8134789.066819822
46,1.3970624324260416e+18,10,389.1298522949219,50.6,-1622221.7386181047,17329011.9448335,20171123.300062597
47,1.3970624324260416e+18,21,-311.0836181640625,42.1,15757890.182902263,1893596.4890210386,21855909.19883369
48,1.3970624324260416e+18,27,574.4353637695312,38.4,23098025.775149066,13303432.704174265,-3018087.6846097396
49,1.3970624324260416e+18,32,282.67205810546875,49.7,7808348.177779548,17848964.775606938,18352557.366964802
73,1.3970624324260416e+18,08,214.17628479003903,30.9,25024485.673475336,4784495.73568894,8134789.066819822
74,1.3970624324260416e+18,10,389.2933654785156,40.0,-1622221.7386181047,17329011.9448335,20171123.300062597
75,1.3970624324260416e+18,27,575.0377807617188,29.5,23098025.775149066,13303432.704174265,-3018087.6846097396
76,1.3970624324260416e+18,28,-475.15234375,22.6,5169380.722935404,25825521.78461427,-3459569.3951893607
94,1.3970624334260416e+18,02,-473.2129211425781,36.4,14633733.886359746,-4876403.146818345,22088069.517008904
95,1.3970624334260416e+18,10,386.9629821777344,49.4,-1624361.482773332,17330345.035913814,20169761.111179907
96,1.3970624334260416e+18,21,-313.22088623046875,44.0,15758328.104805522,1896216.9288764377,21855454.233308345
97,1.3970624334260416e+18,27,572.3273315429688,38.3,23097614.222629804,13303497.87727221,-3021208.866181496
98,1.3970624334260416e+18,32,280.6029052734375,49.5,7806227.364952,17848115.740182087,18354285.51232206
122,1.3970624334260416e+18,08,211.6474151611328,28.7,25025331.442510433,4785145.479727181,8131885.568654007
123,1.3970624334260416e+18,10,387.0015869140625,39.9,-1624361.482773332,17330345.035913814,20169761.111179907
124,1.3970624334260416e+18,32,281.2664489746094,25.0,7806227.364952,17848115.740182087,18354285.51232206
141,1.3970624344260419e+18,02,-472.8988037109375,34.4,14634187.149074415,-4873751.769524982,22088388.030829635
142,1.3970624344260419e+18,08,212.15841674804688,33.3,25026176.90465797,4785795.015990736,8128981.946531652
143,1.3970624344260419e+18,10,386.8756408691406,49.4,-1626501.006911113,17331678.165967982,20168398.49714693
144,1.3970624344260419e+18,21,-312.8106384277344,46.6,15758766.173984352,1898837.2765154084,21854998.82573954
145,1.3970624344260419e+18,27,572.9408569335938,41.8,23097202.325449765,13303562.906434841,-3024329.9853714406
146,1.3970624344260419e+18,32,280.737060546875,48.5,7804106.307497054,17847266.73796886,18356013.276138343
174,1.3970624344260419e+18,08,212.06419372558597,32.0,25026176.90465797,4785795.015990736,8128981.946531652
175,1.3970624344260419e+18,10,386.8449096679688,39.8,-1626501.006911113,17331678.165967982,20168398.49714693
176,1.3970624344260419e+18,28,-475.5982971191406,25.7,5168924.809042597,25826449.37859963,-3453295.7093686997
177,1.3970624344260419e+18,32,280.9867553710937,31.0,7804106.307497054,17847266.73796886,18356013.276138343
193,1.3970624354260419e+18,02,-473.1712341308594,40.9,14634640.578020563,-4871100.385080923,22088706.094381887
194,1.3970624354260419e+18,03,-469.654296875,26.1,23139970.13875702,-12054947.730469286,4452366.880521359
195,1.3970624354260419e+18,08,212.0243377685547,38.7,25027022.07980099,4786444.359818455,8126078.1321030455
196,1.3970624354260419e+18,10,385.43011474609375,43.5,-1628640.3109857654,17333011.334937595,20167035.457994778
197,1.3970624354260419e+18,21,-313.5313415527344,45.4,15759204.390443947,1901457.532013134,21854542.97611644
198,1.3970624354260419e+18,27,572.9171142578125,40.1,23096790.083593793,13303627.79171246,-3027451.0421316437
199,1.3970624354260419e+18,28,-476.5022277832031,35.6,5168696.831624981,25826912.603992574,-3450158.780773524
200,1.3970624354260419e+18,32,279.6727294921875,48.5,7801985.005542928,17846417.76905237,18357740.65830392
227,1.3970624354260419e+18,08,212.65399169921875,28.4,25027022.07980099,4786444.359818455,8126078.1321030455
228,1.3970624354260419e+18,10,385.6147155761719,39.6,-1628640.3109857654,17333011.334937595,20167035.457994778
229,1.3970624354260419e+18,27,572.5731811523438,25.9,23096790.083593793,13303627.79171246,-3027451.0421316437
230,1.3970624354260419e+18,28,-476.4010009765625,27.5,5168696.831624981,25826912.603992574,-3450158.780773524
231,1.3970624354260419e+18,32,279.77569580078125,33.1,7801985.005542928,17846417.76905237,18357740.65830392
248,1.3970624364260419e+18,02,-473.8988342285156,44.9,14635094.173222909,-4868448.993377693,22089023.707681313
249,1.3970624364260419e+18,08,212.0909118652344,35.9,25027866.96120423,4787093.506100158,8123174.148416854
250,1.3970624364260419e+18,10,385.5321960449219,41.3,-1630779.3949921867,17334344.54278957,20165671.993728593
251,1.3970624364260419e+18,21,-313.9074401855469,47.4,15759642.754154643,1904077.6952364217,21854086.684464406
252,1.3970624364260419e+18,27,573.1281127929688,39.7,23096377.497063693,13303692.533152953,-3030572.0362848532
253,1.3970624364260419e+18,28,-476.25,38.7,5168468.837512508,25827375.454364292,-3447021.754161203
254,1.3970624364260419e+18,32,279.6937561035156,48.9,7799863.459070533,17845568.833458506,18359467.658829365
281,1.3970624364260419e+18,08,212.01759338378903,31.6,25027866.96120423,4787093.506100158,8123174.148416854
282,1.3970624364260419e+18,10,385.274169921875,35.3,-1630779.3949921867,17334344.54278957,20165671.993728593
283,1.3970624364260419e+18,27,573.0552978515625,31.8,23096377.497063693,13303692.533152953,-3030572.0362848532
284,1.3970624364260419e+18,28,-476.1206970214844,28.7,5168468.837512508,25827375.454364292,-3447021.754161203
285,1.3970624364260419e+18,32,279.5506591796875,33.2,7799863.459070533,17845568.833458506,18359467.658829365
304,1.3970624374260419e+18,02,-472.737060546875,46.2,14635547.934660677,-4865797.594572751,22089340.870711714
305,1.3970624374260419e+18,08,212.8616180419922,37.0,25028711.548887122,4787742.454915313,8120269.995327829
306,1.3970624374260419e+18,10,387.1977233886719,41.4,-1632918.25883264,17335677.78943325,20164308.1044125
307,1.3970624374260419e+18,21,-312.59619140625,43.7,15760081.265101964,1906697.7661432135,21853629.950793028
308,1.3970624374260419e+18,27,574.5242919921875,42.4,23095964.56583222,13303757.130808903,-3033692.9678732753
309,1.3970624374260419e+18,28,-474.4248962402344,36.8,5168240.828453019,25827837.92605218,-3443884.654355045
310,1.3970624374260419e+18,32,281.4963684082031,51.4,7797741.668138775,17844719.931244783,18361194.277661305
338,1.3970624374260419e+18,03,-467.9024963378906,22.2,23139242.501698636,-12053934.054609507,4458701.712114238
339,1.3970624374260419e+18,08,213.5618133544922,29.5,25028711.548887122,4787742.454915313,8120269.995327829
340,1.3970624374260419e+18,10,387.1594848632813,34.9,-1632918.25883264,17335677.78943325,20164308.1044125
341,1.3970624374260419e+18,27,574.6904296875,33.5,23095964.56583222,13303757.130808903,-3033692.9678732753
342,1.3970624374260419e+18,28,-474.146240234375,36.3,5168240.828453019,25827837.92605218,-3443884.654355045
343,1.3970624374260419e+18,32,281.5841979980469,30.9,7797741.668138775,17844719.931244783,18361194.277661305
359,1.3970624384260419e+18,02,-472.5126037597656,43.0,14636001.86235392,-4863146.188584917,22089657.583485432
360,1.3970624384260419e+18,03,-468.0975646972656,37.0,23138878.236811876,-12053426.850471739,4461868.946930414
361,1.3970624384260419e+18,08,213.42649841308597,43.7,25029555.842780422,4788391.20627442,8117365.672996037
362,1.3970624384260419e+18,10,388.0905456542969,38.5,-1635056.9025447583,17337011.074862063,20162943.79002451
363,1.3970624384260419e+18,21,-312.271484375,49.6,15760519.923258426,1909317.7446132344,21853172.775125466
364,1.3970624384260419e+18,27,574.5217895507812,39.2,23095551.289898757,13303821.584728386,-3036813.836739284
365,1.3970624384260419e+18,28,-473.6605529785156,39.0,5168012.804393136,25828300.019053843,-3440747.481402782
366,1.3970624384260419e+18,32,282.1542358398437,47.8,7795619.632812711,17843871.0624708,18362920.514741756
393,1.3970624384260419e+18,03,-468.2354736328125,36.8,23138878.236811876,-12053426.850471739,4461868.946930414
394,1.3970624384260419e+18,08,213.67822265625,33.7,25029555.842780422,4788391.20627442,8117365.672996037
395,1.3970624384260419e+18,10,388.1413269042969,28.1,-1635056.9025447583,17337011.074862063,20162943.79002451
396,1.3970624384260419e+18,27,574.4461059570312,27.2,23095551.289898757,13303821.584728386,-3036813.836739284
